protocol,degradation,setting,threshold,fpr,tpr,f1,bacc,comment
urban_residential,blur,Clean-Q95,4.397287368774414,0.0,0.09666666666666666,0.1762917933130699,0.5483333333333333,conservative
urban_residential,blur,z-score,1.0,0.005,0.34,0.5055762081784387,0.6675,mean/std normal-score scaling
urban_residential,blur,median-IQR,1.0,0.0016666666666666668,0.18833333333333332,0.3165266106442577,0.5933333333333333,robust scaling
urban_residential,blur,q50/q95,1.0,0.0,0.16833333333333333,0.2881597717546362,0.5841666666666667,proposed AC
urban_residential,blur,q50/q95 matched-FPR,0.9392449259757996,0.0016666666666666668,0.18666666666666668,0.3141654978962132,0.5925,diagnostic
urban_residential,jpeg,Clean-Q95,4.397287368774414,0.06666666666666667,0.6883333333333334,0.7844254510921177,0.8108333333333333,conservative
urban_residential,jpeg,z-score,1.0,0.3466666666666667,0.9566666666666667,0.8306801736613603,0.8049999999999999,mean/std normal-score scaling
urban_residential,jpeg,median-IQR,1.0,0.15166666666666667,0.8583333333333333,0.8540630182421227,0.8533333333333333,robust scaling
urban_residential,jpeg,q50/q95,1.0,0.12166666666666667,0.8183333333333334,0.8436426116838487,0.8483333333333334,proposed AC
urban_residential,jpeg,q50/q95 matched-FPR,0.9392449259757996,0.14833333333333334,0.8533333333333334,0.852622814321399,0.8525,diagnostic
urban_residential,light,Clean-Q95,4.397287368774414,0.013333333333333334,0.4816666666666667,0.6443701226309922,0.7341666666666666,conservative
urban_residential,light,z-score,1.0,0.12666666666666668,0.9066666666666666,0.8918032786885245,0.8899999999999999,mean/std normal-score scaling
urban_residential,light,median-IQR,1.0,0.04,0.725,0.821529745042493,0.8425,robust scaling
urban_residential,light,q50/q95,1.0,0.03333333333333333,0.6866666666666666,0.7984496124031009,0.8266666666666667,proposed AC
urban_residential,light,q50/q95 matched-FPR,0.9392449259757996,0.04,0.7216666666666667,0.8192999053926207,0.8408333333333333,diagnostic
urban_residential,lowres,Clean-Q95,4.397287368774414,0.0,0.08,0.14814814814814814,0.54,conservative
urban_residential,lowres,z-score,1.0,0.005,0.2966666666666667,0.4558258642765685,0.6458333333333334,mean/std normal-score scaling
urban_residential,lowres,median-IQR,1.0,0.0,0.15833333333333333,0.2733812949640288,0.5791666666666666,robust scaling
urban_residential,lowres,q50/q95,1.0,0.0,0.135,0.2378854625550661,0.5675,proposed AC
urban_residential,lowres,q50/q95 matched-FPR,0.9392449259757996,0.0,0.15833333333333333,0.2733812949640288,0.5791666666666666,diagnostic
urban_residential,noise,Clean-Q95,4.397287368774414,0.011666666666666667,0.48,0.6435754189944134,0.7341666666666666,conservative
urban_residential,noise,z-score,1.0,0.13166666666666665,0.8733333333333333,0.8711554447215295,0.8708333333333333,mean/std normal-score scaling
urban_residential,noise,median-IQR,1.0,0.056666666666666664,0.67,0.7760617760617761,0.8066666666666666,robust scaling
urban_residential,noise,q50/q95,1.0,0.03833333333333333,0.6266666666666667,0.7527527527527527,0.7941666666666667,proposed AC
urban_residential,noise,q50/q95 matched-FPR,0.9392449259757996,0.056666666666666664,0.6716666666666666,0.7772420443587271,0.8075,diagnostic
vegetation_forest,blur,Clean-Q95,3.725647211074829,0.0,0.565,0.7220447284345047,0.7825,conservative
vegetation_forest,blur,z-score,1.0,0.03333333333333333,0.8766666666666667,0.917975567190227,0.9216666666666666,mean/std normal-score scaling
vegetation_forest,blur,median-IQR,1.0,0.013333333333333334,0.805,0.8854262144821266,0.8958333333333334,robust scaling
vegetation_forest,blur,q50/q95,1.0,0.006666666666666667,0.6833333333333333,0.8086785009861933,0.8383333333333334,proposed AC
vegetation_forest,blur,q50/q95 matched-FPR,0.9392449259757996,0.006666666666666667,0.705,0.8237585199610515,0.8491666666666666,diagnostic
vegetation_forest,jpeg,Clean-Q95,3.725647211074829,0.051666666666666666,0.8583333333333333,0.8987783595113438,0.9033333333333333,conservative
vegetation_forest,jpeg,z-score,1.0,0.25,0.9733333333333334,0.8755622188905547,0.8616666666666667,mean/std normal-score scaling
vegetation_forest,jpeg,median-IQR,1.0,0.17666666666666667,0.9616666666666667,0.8994544037412315,0.8925000000000001,robust scaling
vegetation_forest,jpeg,q50/q95,1.0,0.095,0.8966666666666666,0.900418410041841,0.9008333333333334,proposed AC
vegetation_forest,jpeg,q50/q95 matched-FPR,0.9392449259757996,0.11333333333333333,0.9233333333333333,0.9067103109656302,0.905,diagnostic
vegetation_forest,light,Clean-Q95,3.725647211074829,0.02666666666666667,0.8133333333333334,0.8840579710144927,0.8933333333333333,conservative
vegetation_forest,light,z-score,1.0,0.20833333333333334,0.9733333333333334,0.8922841864018335,0.8825000000000001,mean/std normal-score scaling
vegetation_forest,light,median-IQR,1.0,0.13333333333333333,0.9383333333333334,0.9058728881737731,0.9025000000000001,robust scaling
vegetation_forest,light,q50/q95,1.0,0.051666666666666666,0.8766666666666667,0.9092480553154711,0.9125000000000001,proposed AC
vegetation_forest,light,q50/q95 matched-FPR,0.9392449259757996,0.06,0.8916666666666667,0.9137489325362937,0.9158333333333333,diagnostic
vegetation_forest,lowres,Clean-Q95,3.725647211074829,0.0,0.5066666666666667,0.6725663716814159,0.7533333333333334,conservative
vegetation_forest,lowres,z-score,1.0,0.013333333333333334,0.815,0.8915223336371924,0.9008333333333334,mean/std normal-score scaling
vegetation_forest,lowres,median-IQR,1.0,0.01,0.7366666666666667,0.8435114503816794,0.8633333333333333,robust scaling
vegetation_forest,lowres,q50/q95,1.0,0.0016666666666666668,0.6,0.7492195629552549,0.7991666666666666,proposed AC
vegetation_forest,lowres,q50/q95 matched-FPR,0.9392449259757996,0.0016666666666666668,0.6366666666666667,0.7772126144455749,0.8175,diagnostic
vegetation_forest,noise,Clean-Q95,3.725647211074829,0.011666666666666667,0.7333333333333333,0.8404966571155683,0.8608333333333333,conservative
vegetation_forest,noise,z-score,1.0,0.13333333333333333,0.935,0.9041095890410958,0.9008333333333334,mean/std normal-score scaling
vegetation_forest,noise,median-IQR,1.0,0.08,0.9,0.9090909090909091,0.91,robust scaling
vegetation_forest,noise,q50/q95,1.0,0.028333333333333332,0.815,0.8842676311030742,0.8933333333333333,proposed AC
vegetation_forest,noise,q50/q95 matched-FPR,0.9392449259757996,0.035,0.8433333333333334,0.8979591836734694,0.9041666666666667,diagnostic
water_sealake,blur,Clean-Q95,4.281528949737549,0.011666666666666667,0.22666666666666666,0.36608344549125166,0.6074999999999999,conservative
water_sealake,blur,z-score,1.0,0.14,1.0,0.9345794392523363,0.9299999999999999,mean/std normal-score scaling
water_sealake,blur,median-IQR,1.0,0.095,0.965,0.9368932038834951,0.935,robust scaling
water_sealake,blur,q50/q95,1.0,0.02666666666666667,0.525,0.6766917293233083,0.7491666666666668,proposed AC
water_sealake,blur,q50/q95 matched-FPR,0.9392449259757996,0.035,0.695,0.8034682080924856,0.83,diagnostic
water_sealake,jpeg,Clean-Q95,4.281528949737549,0.056666666666666664,0.75,0.8302583025830259,0.8466666666666667,conservative
water_sealake,jpeg,z-score,1.0,0.2,1.0,0.9090909090909091,0.9,mean/std normal-score scaling
water_sealake,jpeg,median-IQR,1.0,0.15166666666666667,1.0,0.9295120061967467,0.9241666666666667,robust scaling
water_sealake,jpeg,q50/q95,1.0,0.08,0.9166666666666666,0.9181969949916529,0.9183333333333333,proposed AC
water_sealake,jpeg,q50/q95 matched-FPR,0.9392449259757996,0.10333333333333333,0.96,0.9305331179321487,0.9283333333333333,diagnostic
water_sealake,light,Clean-Q95,4.281528949737549,0.035,0.6283333333333333,0.7555110220440882,0.7966666666666666,conservative
water_sealake,light,z-score,1.0,0.18833333333333332,1.0,0.913937547600914,0.9058333333333333,mean/std normal-score scaling
water_sealake,light,median-IQR,1.0,0.14333333333333334,1.0,0.9331259720062208,0.9283333333333333,robust scaling
water_sealake,light,q50/q95,1.0,0.07166666666666667,0.8883333333333333,0.9064625850340136,0.9083333333333333,proposed AC
water_sealake,light,q50/q95 matched-FPR,0.9392449259757996,0.08666666666666667,0.95,0.9328968903436988,0.9316666666666666,diagnostic
water_sealake,lowres,Clean-Q95,4.281528949737549,0.01,0.15,0.25862068965517243,0.57,conservative
water_sealake,lowres,z-score,1.0,0.12,0.9983333333333333,0.9425649095200629,0.9391666666666667,mean/std normal-score scaling
water_sealake,lowres,median-IQR,1.0,0.09,0.9466666666666667,0.9296235679214404,0.9283333333333333,robust scaling
water_sealake,lowres,q50/q95,1.0,0.02,0.3933333333333333,0.5566037735849056,0.6866666666666666,proposed AC
water_sealake,lowres,q50/q95 matched-FPR,0.9392449259757996,0.03,0.5816666666666667,0.7218200620475699,0.7758333333333334,diagnostic
water_sealake,noise,Clean-Q95,4.281528949737549,0.03666666666666667,0.525,0.6723585912486659,0.7441666666666666,conservative
water_sealake,noise,z-score,1.0,0.17,1.0,0.9216589861751151,0.915,mean/std normal-score scaling
water_sealake,noise,median-IQR,1.0,0.12666666666666668,0.9916666666666667,0.9362706530291109,0.9325,robust scaling
water_sealake,noise,q50/q95,1.0,0.065,0.7883333333333333,0.8507194244604317,0.8616666666666667,proposed AC
water_sealake,noise,q50/q95 matched-FPR,0.9392449259757996,0.085,0.88,0.8956743002544529,0.8975,diagnostic
